PLAYER_ID,NAME,AGE,TEAM,FGA,3PA,3P_PCT,SEASON,SHOT_FREQUENCY_PCT,TEAM_ID,LEFT_CORNER_3_FGM,LEFT_CORNER_3_FGA,LEFT_CORNER_3_PCT,RIGHT_CORNER_3_FGM,RIGHT_CORNER_3_FGA,RIGHT_CORNER_3_PCT,ABOVE_THE_BREAK_3_FGM,ABOVE_THE_BREAK_3_FGA,ABOVE_BREAK_3_PCT,CORNER_3_FGM,CORNER_3_FGA,CORNER_3_PCT,SEASON_START,TARGET_3P_PCT,TARGET_SEASON
2225,Tony Parker,35.0,SAS,569,69,0.333,2016-17,0.1212653778558875,1610612759,6.0,17.0,0.353,11.0,35.0,0.314,6.0,17.0,0.353,17.0,52.0,0.327,2016,0.27,2017-18
2225,Tony Parker,36.0,SAS,388,37,0.27,2017-18,0.095360824742268,1610612759,8.0,16.0,0.5,0.0,12.0,0.0,2.0,8.0,0.25,8.0,28.0,0.286,2017,0.255,2018-19
2365,Chris Andersen,36.0,MIA,207,13,0.308,2014-15,0.0628019323671497,1610612748,1.0,2.0,0.5,3.0,5.0,0.6,0.0,3.0,0.0,4.0,7.0,0.571,2014,0.286,2015-16
2365,Chris Andersen,37.0,MEM,72,14,0.286,2015-16,0.1944444444444444,1610612763,0.0,0.0,0.0,0.0,1.0,0.0,4.0,13.0,0.308,0.0,1.0,0.0,2015,0.0,2016-17
2399,Mike Dunleavy,34.0,CHI,481,263,0.407,2014-15,0.5467775467775468,1610612741,13.0,29.0,0.448,9.0,20.0,0.45,84.0,212.0,0.396,22.0,49.0,0.449,2014,0.394,2015-16
2399,Mike Dunleavy,35.0,CHI,188,99,0.394,2015-16,0.526595744680851,1610612741,0.0,4.0,0.0,9.0,18.0,0.5,30.0,77.0,0.39,9.0,22.0,0.409,2015,0.396,2016-17
2400,Drew Gooden,33.0,WAS,276,59,0.39,2014-15,0.213768115942029,1610612764,2.0,4.0,0.5,4.0,8.0,0.5,17.0,46.0,0.37,6.0,12.0,0.5,2014,0.171,2015-16
2403,Nene,32.0,WAS,601,5,0.2,2014-15,0.0083194675540765,1610612764,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.5,0.0,3.0,0.0,2014,0.0,2015-16
2403,Nene,33.0,WAS,384,3,0.0,2015-16,0.0078125,1610612764,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2015,0.333,2016-17
2403,Nene,34.0,HOU,397,9,0.333,2016-17,0.0226700251889168,1610612745,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.333,0.0,0.0,0.0,2016,0.0,2017-18
2403,Nene,35.0,HOU,239,2,0.0,2017-18,0.00836820083682,1610612745,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2017,0.0,2018-19
2405,Amar'e Stoudemire,32.0,DAL,490,4,0.0,2014-15,0.0081632653061224,1610612742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2014,0.0,2015-16
2406,Caron Butler,35.0,DET,396,219,0.379,2014-15,0.553030303030303,1610612765,7.0,15.0,0.467,18.0,37.0,0.486,58.0,164.0,0.354,25.0,52.0,0.481,2014,0.167,2015-16
2419,Tayshaun Prince,35.0,DET,402,67,0.463,2014-15,0.1666666666666666,1610612765,12.0,21.0,0.571,12.0,26.0,0.462,7.0,20.0,0.35,24.0,47.0,0.511,2014,0.174,2015-16
2440,Matt Barnes,35.0,LAC,624,376,0.362,2014-15,0.6025641025641025,1610612746,26.0,83.0,0.313,42.0,97.0,0.433,68.0,195.0,0.349,68.0,180.0,0.378,2014,0.322,2015-16
2440,Matt Barnes,36.0,MEM,693,370,0.322,2015-16,0.5339105339105339,1610612763,18.0,50.0,0.36,14.0,55.0,0.255,85.0,260.0,0.327,32.0,105.0,0.305,2015,0.331,2016-17
2446,Rasual Butler,36.0,WAS,517,235,0.387,2014-15,0.4545454545454545,1610612764,21.0,58.0,0.362,20.0,42.0,0.476,50.0,135.0,0.37,41.0,100.0,0.41,2014,0.306,2015-16
2449,Luis Scola,35.0,IND,642,20,0.25,2014-15,0.0311526479750778,1610612754,3.0,9.0,0.333,1.0,2.0,0.5,1.0,6.0,0.167,4.0,11.0,0.364,2014,0.404,2015-16
2449,Luis Scola,36.0,TOR,598,161,0.404,2015-16,0.2692307692307692,1610612761,20.0,43.0,0.465,19.0,41.0,0.463,26.0,76.0,0.342,39.0,84.0,0.464,2015,0.34,2016-17
2544,LeBron James,30.0,CLE,1279,339,0.354,2014-15,0.2650508209538702,1610612739,6.0,18.0,0.333,9.0,23.0,0.391,105.0,298.0,0.352,15.0,41.0,0.366,2014,0.309,2015-16
2544,LeBron James,31.0,CLE,1416,282,0.309,2015-16,0.1991525423728813,1610612739,5.0,20.0,0.25,4.0,17.0,0.235,78.0,244.0,0.32,9.0,37.0,0.243,2015,0.363,2016-17
2544,LeBron James,32.0,CLE,1344,342,0.363,2016-17,0.2544642857142857,1610612739,10.0,23.0,0.435,5.0,17.0,0.294,109.0,301.0,0.362,15.0,40.0,0.375,2016,0.367,2017-18
2544,LeBron James,33.0,CLE,1580,406,0.367,2017-18,0.2569620253164557,1610612739,7.0,18.0,0.389,7.0,20.0,0.35,135.0,367.0,0.368,14.0,38.0,0.368,2017,0.339,2018-19
2544,LeBron James,34.0,LAL,1095,327,0.339,2018-19,0.2986301369863013,1610612747,4.0,15.0,0.267,5.0,12.0,0.417,102.0,301.0,0.339,9.0,27.0,0.333,2018,0.348,2019-20
2544,LeBron James,35.0,LAL,1303,425,0.348,2019-20,0.3261703760552571,1610612747,6.0,11.0,0.545,7.0,17.0,0.412,136.0,396.0,0.343,13.0,28.0,0.464,2019,0.365,2020-21
2544,LeBron James,36.0,LAL,823,285,0.365,2020-21,0.3462940461725395,1610612747,7.0,13.0,0.538,3.0,9.0,0.333,94.0,263.0,0.357,10.0,22.0,0.455,2020,0.359,2021-22
2544,LeBron James,37.0,LAL,1221,448,0.359,2021-22,0.3669123669123669,1610612747,6.0,15.0,0.4,5.0,21.0,0.238,150.0,412.0,0.364,11.0,36.0,0.306,2021,0.321,2022-23
2544,LeBron James,38.0,LAL,1219,377,0.321,2022-23,0.3092698933552092,1610612747,3.0,13.0,0.231,7.0,19.0,0.368,109.0,344.0,0.317,10.0,32.0,0.313,2022,0.41,2023-24
2544,LeBron James,39.0,LAL,1269,363,0.41,2023-24,0.2860520094562648,1610612747,7.0,21.0,0.333,13.0,23.0,0.565,129.0,318.0,0.406,20.0,44.0,0.455,2023,0.376,2024-25
2546,Carmelo Anthony,31.0,NYK,806,179,0.341,2014-15,0.2220843672456575,1610612752,8.0,12.0,0.667,3.0,5.0,0.6,50.0,161.0,0.311,11.0,17.0,0.647,2014,0.339,2015-16
